time	V(n003)
5.190330317329118e-002	-3.666342e+000
5.190523665765743e-002	-3.663443e+000
5.190717014202369e-002	-3.660545e+000
5.190910362638994e-002	-3.657649e+000
5.202353545786709e-002	-3.486116e+000
5.210166045786709e-002	-3.369017e+000
5.217978545786708e-002	-3.251928e+000
5.225791045786708e-002	-3.134847e+000
5.232848678912475e-002	-3.029088e+000
5.240661178912474e-002	-2.912024e+000
5.243577747146302e-002	-2.868324e+000
5.244306889204759e-002	-2.857399e+000
5.245765173321673e-002	-2.835550e+000
5.246497355015279e-002	-2.824580e+000
5.247100802694110e-002	-2.815539e+000
5.247437963121129e-002	-2.810488e+000
5.247708423695423e-002	-2.806435e+000
5.247891229682133e-002	-2.803696e+000
5.248074055873967e-002	-2.800957e+000
5.248311883139881e-002	-2.797394e+000
5.248426491306551e-002	-2.795677e+000
5.248495553051048e-002	-2.794642e+000
5.248539960220978e-002	-2.793977e+000
5.248582836397212e-002	-2.793335e+000
5.248625177421257e-002	-2.792700e+000
5.248677531254681e-002	-2.791916e+000
5.248735055080256e-002	-2.791054e+000
5.248783877985836e-002	-2.790323e+000
5.248837920637284e-002	-2.789513e+000
5.248895528434010e-002	-2.788650e+000
5.248958396651897e-002	-2.787708e+000
5.249024162161342e-002	-2.786723e+000
5.249096204497235e-002	-2.785643e+000
5.249173969456351e-002	-2.784478e+000
5.249259593853961e-002	-2.783195e+000
5.249343137162919e-002	-2.781944e+000
5.249385049423362e-002	-2.781316e+000
5.249412531019908e-002	-2.780904e+000
5.249428194252412e-002	-2.780669e+000
5.249439453685775e-002	-2.780501e+000
5.249453020262391e-002	-2.780298e+000
5.249465540409854e-002	-2.780110e+000
5.249482943310065e-002	-2.779849e+000
5.249497712784904e-002	-2.779628e+000
5.249505651942159e-002	-2.779509e+000
5.249514047365010e-002	-2.779383e+000
5.249523322291624e-002	-2.779244e+000
5.249531858336300e-002	-2.779116e+000
5.249548930425653e-002	-2.778861e+000
5.249573227725061e-002	-2.778497e+000
5.249605491018397e-002	-2.778013e+000
5.249645494847496e-002	-2.777414e+000
5.249699539325568e-002	-2.776604e+000
5.249773543384748e-002	-2.775495e+000
5.249884502061964e-002	-2.773833e+000
5.250062280732113e-002	-2.771169e+000
5.250163657821533e-002	-2.769651e+000
5.250312735373843e-002	-2.767417e+000
5.250454878679375e-002	-2.765288e+000
5.250589341589509e-002	-2.763273e+000
5.250786605816495e-002	-2.760318e+000
5.251071391732593e-002	-2.756051e+000
5.251490620426527e-002	-2.749770e+000
5.252170224167863e-002	-2.739589e+000
5.253443489691376e-002	-2.720513e+000
5.254799670427082e-002	-2.700196e+000
5.256810512674590e-002	-2.670071e+000
5.259169973844300e-002	-2.634725e+000
5.262890503841965e-002	-2.578991e+000
5.267198713672104e-002	-2.514455e+000
5.273503208783160e-002	-2.420022e+000
5.280908353780194e-002	-2.309109e+000
5.288720853780194e-002	-2.192104e+000
5.295440683890755e-002	-2.091470e+000
5.302553366441903e-002	-1.984962e+000
5.339383723584760e-002	-1.433568e+000
5.376214080727616e-002	-8.823817e-001
5.413044437870473e-002	-3.314014e-001
5.449874795013329e-002	2.193724e-001
5.486705152156185e-002	7.699399e-001
5.523535509299041e-002	1.320301e+000
5.560365866441898e-002	1.870456e+000
5.568178366441898e-002	1.987131e+000
5.575990866441898e-002	2.103796e+000
5.583803366441897e-002	2.220449e+000
5.591615866441897e-002	2.337092e+000
5.599428366441897e-002	2.453722e+000
5.607240866441897e-002	2.570342e+000
5.615053366441897e-002	2.686950e+000
5.622865866441897e-002	2.803520e+000
5.628446223584754e-002	2.886776e+000
5.634026580727611e-002	2.969991e+000
5.639606937870468e-002	3.053167e+000
5.645187295013324e-002	3.136302e+000
5.650767652156181e-002	3.219397e+000
5.656348009299039e-002	3.302452e+000
5.661928366441896e-002	3.385467e+000
5.669740866441896e-002	3.501507e+000
5.677553366441895e-002	3.617361e+000
5.678529928941895e-002	3.631814e+000
5.680483053941896e-002	3.660673e+000
5.680590571537343e-002	3.662260e+000
5.680805606728239e-002	3.665431e+000
5.681235677110031e-002	3.671772e+000
5.681299236475182e-002	3.672709e+000
5.681426355205484e-002	3.674582e+000
5.681516965154403e-002	3.675917e+000
5.681592311920915e-002	3.677029e+000
5.681645725025829e-002	3.677819e+000
5.681687708001105e-002	3.678443e+000
5.681718796670723e-002	3.678912e+000
5.681745344120879e-002	3.679324e+000
5.681764800095743e-002	3.679648e+000
5.681777916643382e-002	3.679900e+000
5.681786999464629e-002	3.680122e+000
5.681794159121733e-002	3.680372e+000
5.681800606327209e-002	3.680720e+000
5.681807217368302e-002	3.681265e+000
5.681814664333332e-002	3.682146e+000
5.681822588806666e-002	3.683539e+000
5.681831781379829e-002	3.686054e+000
5.681840110958836e-002	3.689581e+000
5.681849374767930e-002	3.694859e+000
5.681854348063461e-002	3.697895e+000
5.681859112629318e-002	3.700121e+000
5.681864665073978e-002	3.701306e+000
5.681870107444374e-002	3.701467e+000
5.681882673877028e-002	3.701313e+000
5.681905735215086e-002	3.701360e+000
5.681921805153839e-002	3.701174e+000
5.681953945031344e-002	3.692549e+000
5.681961376499600e-002	3.684515e+000
5.681967757485831e-002	3.678068e+000
5.681968735017563e-002	3.678154e+000
5.681969965944921e-002	3.678803e+000
5.681971296790439e-002	3.679420e+000
5.681972643780122e-002	3.679914e+000
5.681974196453644e-002	3.680311e+000
5.681975985400591e-002	3.680570e+000
5.681978356165998e-002	3.680681e+000
5.681981655649319e-002	3.680623e+000
5.681987907900470e-002	3.680350e+000
5.681991070691911e-002	3.680252e+000
5.681995811081617e-002	3.680156e+000
5.682025995309175e-002	3.679679e+000
5.682056179536733e-002	3.679207e+000
5.682086363764291e-002	3.678740e+000
5.682116547991849e-002	3.678278e+000
